LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,ELDLYPOP,TOT,PC_POP,A,1950,8.112536222,
AUS,ELDLYPOP,TOT,PC_POP,A,1951,8.118313405,
AUS,ELDLYPOP,TOT,PC_POP,A,1952,8.13523997,
AUS,ELDLYPOP,TOT,PC_POP,A,1953,8.228874797,
AUS,ELDLYPOP,TOT,PC_POP,A,1954,8.322483726,
AUS,ELDLYPOP,TOT,PC_POP,A,1955,8.382882051,
AUS,ELDLYPOP,TOT,PC_POP,A,1956,8.422895337,
AUS,ELDLYPOP,TOT,PC_POP,A,1957,8.47285326,
AUS,ELDLYPOP,TOT,PC_POP,A,1958,8.514183532,
AUS,ELDLYPOP,TOT,PC_POP,A,1959,8.516964321,
AUS,ELDLYPOP,TOT,PC_POP,A,1960,8.514841849,
AUS,ELDLYPOP,TOT,PC_POP,A,1961,8.513351478,
AUS,ELDLYPOP,TOT,PC_POP,A,1962,8.537918789,
AUS,ELDLYPOP,TOT,PC_POP,A,1963,8.554217972,
AUS,ELDLYPOP,TOT,PC_POP,A,1964,8.524852539,
AUS,ELDLYPOP,TOT,PC_POP,A,1965,8.520487792,
AUS,ELDLYPOP,TOT,PC_POP,A,1966,8.502661063,
AUS,ELDLYPOP,TOT,PC_POP,A,1967,8.471882295,
AUS,ELDLYPOP,TOT,PC_POP,A,1968,8.444007167,
AUS,ELDLYPOP,TOT,PC_POP,A,1969,8.372281072,
AUS,ELDLYPOP,TOT,PC_POP,A,1970,8.345077762,
AUS,ELDLYPOP,TOT,PC_POP,A,1971,8.344309234,
AUS,ELDLYPOP,TOT,PC_POP,A,1972,8.406000031,
AUS,ELDLYPOP,TOT,PC_POP,A,1973,8.505940744,
AUS,ELDLYPOP,TOT,PC_POP,A,1974,8.607410375,
AUS,ELDLYPOP,TOT,PC_POP,A,1975,8.720711409,
AUS,ELDLYPOP,TOT,PC_POP,A,1976,8.92766757,
AUS,ELDLYPOP,TOT,PC_POP,A,1977,9.07244765,
AUS,ELDLYPOP,TOT,PC_POP,A,1978,9.240117262,
AUS,ELDLYPOP,TOT,PC_POP,A,1979,9.43616404,
AUS,ELDLYPOP,TOT,PC_POP,A,1980,9.617167492,
AUS,ELDLYPOP,TOT,PC_POP,A,1981,9.749873687,
AUS,ELDLYPOP,TOT,PC_POP,A,1982,9.870545441,
AUS,ELDLYPOP,TOT,PC_POP,A,1983,9.976696615,
AUS,ELDLYPOP,TOT,PC_POP,A,1984,10.10171707,
AUS,ELDLYPOP,TOT,PC_POP,A,1985,10.2672724,
AUS,ELDLYPOP,TOT,PC_POP,A,1986,10.50115024,
AUS,ELDLYPOP,TOT,PC_POP,A,1987,10.69417409,
AUS,ELDLYPOP,TOT,PC_POP,A,1988,10.83574419,
AUS,ELDLYPOP,TOT,PC_POP,A,1989,10.98161839,
AUS,ELDLYPOP,TOT,PC_POP,A,1990,11.09502958,
AUS,ELDLYPOP,TOT,PC_POP,A,1991,11.28622389,
AUS,ELDLYPOP,TOT,PC_POP,A,1992,11.45311404,
